config_id,fold_id,fold_date,script_path,raw_path,artifact_id,script_word_count,length_compliant,balanced_score,editorial_score,attention_score,voice_score,seo_score,factuality_risk,ai_smell_risk
g00_current_like,fold_2026_08_31,2026-08-31,experiments/editorial_grid_search/results/scripts/g00_current_like/fold_2026_08_31.txt,experiments/editorial_grid_search/results/raw/g00_current_like/fold_2026_08_31.json,10839108629,1267,False,5.94,6.2,6.4,7.6,6.0,medium,medium
g00_current_like,fold_2026_09_04,2026-09-04,experiments/editorial_grid_search/results/scripts/g00_current_like/fold_2026_09_04.txt,experiments/editorial_grid_search/results/raw/g00_current_like/fold_2026_09_04.json,10839108629,1474,True,6.85,7.2,6.6,8.1,6.4,medium,low
g00_current_like,fold_2026_09_24,2026-09-24,experiments/editorial_grid_search/results/scripts/g00_current_like/fold_2026_09_24.txt,experiments/editorial_grid_search/results/raw/g00_current_like/fold_2026_09_24.json,10839108629,1486,True,7.39,8.1,8.4,7.2,7.0,medium,low
g01_fit_scene_5b,fold_2026_08_31,2026-08-31,experiments/editorial_grid_search/results/scripts/g01_fit_scene_5b/fold_2026_08_31.txt,experiments/editorial_grid_search/results/raw/g01_fit_scene_5b/fold_2026_08_31.json,10839346464,1631,False,4.815,4.6,5.2,6.6,5.7,medium,medium
g01_fit_scene_5b,fold_2026_09_04,2026-09-04,experiments/editorial_grid_search/results/scripts/g01_fit_scene_5b/fold_2026_09_04.txt,experiments/editorial_grid_search/results/raw/g01_fit_scene_5b/fold_2026_09_04.json,10839346464,1567,True,6.725,7.2,7.6,6.8,6.5,medium,low
g01_fit_scene_5b,fold_2026_09_24,2026-09-24,experiments/editorial_grid_search/results/scripts/g01_fit_scene_5b/fold_2026_09_24.txt,experiments/editorial_grid_search/results/raw/g01_fit_scene_5b/fold_2026_09_24.json,10839346464,1456,True,7.06,7.0,7.5,8.2,6.5,medium,low
g02_fit_tension_4b,fold_2026_08_31,2026-08-31,experiments/editorial_grid_search/results/scripts/g02_fit_tension_4b/fold_2026_08_31.txt,experiments/editorial_grid_search/results/raw/g02_fit_tension_4b/fold_2026_08_31.json,10839316476,1554,True,6.19,7.1,6.8,6.9,6.6,medium,medium
g02_fit_tension_4b,fold_2026_09_04,2026-09-04,experiments/editorial_grid_search/results/scripts/g02_fit_tension_4b/fold_2026_09_04.txt,experiments/editorial_grid_search/results/raw/g02_fit_tension_4b/fold_2026_09_04.json,10839316476,2069,False,6.86,7.2,7.0,7.6,6.8,medium,low
g02_fit_tension_4b,fold_2026_09_24,2026-09-24,experiments/editorial_grid_search/results/scripts/g02_fit_tension_4b/fold_2026_09_24.txt,experiments/editorial_grid_search/results/raw/g02_fit_tension_4b/fold_2026_09_24.json,10839316476,1558,True,6.66,7.6,7.0,7.8,6.6,medium,medium
g03_after_scene_5b,fold_2026_08_31,2026-08-31,experiments/editorial_grid_search/results/scripts/g03_after_scene_5b/fold_2026_08_31.txt,experiments/editorial_grid_search/results/raw/g03_after_scene_5b/fold_2026_08_31.json,10839148637,1554,True,6.66,7.1,7.0,8.2,6.8,medium,medium
g03_after_scene_5b,fold_2026_09_04,2026-09-04,experiments/editorial_grid_search/results/scripts/g03_after_scene_5b/fold_2026_09_04.txt,experiments/editorial_grid_search/results/raw/g03_after_scene_5b/fold_2026_09_04.json,10839148637,1588,True,6.345,6.8,6.2,7.1,6.5,medium,low
g03_after_scene_5b,fold_2026_09_24,2026-09-24,experiments/editorial_grid_search/results/scripts/g03_after_scene_5b/fold_2026_09_24.txt,experiments/editorial_grid_search/results/raw/g03_after_scene_5b/fold_2026_09_24.json,10839148637,1889,False,6.665,7.6,6.9,7.8,6.8,medium,medium
g04_turn_paradox_5b,fold_2026_08_31,2026-08-31,experiments/editorial_grid_search/results/scripts/g04_turn_paradox_5b/fold_2026_08_31.txt,experiments/editorial_grid_search/results/raw/g04_turn_paradox_5b/fold_2026_08_31.json,10839341492,1481,True,7.285,7.4,7.8,8.1,6.9,medium,low
g04_turn_paradox_5b,fold_2026_09_04,2026-09-04,experiments/editorial_grid_search/results/scripts/g04_turn_paradox_5b/fold_2026_09_04.txt,experiments/editorial_grid_search/results/raw/g04_turn_paradox_5b/fold_2026_09_04.json,10839341492,1692,False,5.745,6.6,6.1,6.8,6.0,medium,medium
g04_turn_paradox_5b,fold_2026_09_24,2026-09-24,experiments/editorial_grid_search/results/scripts/g04_turn_paradox_5b/fold_2026_09_24.txt,experiments/editorial_grid_search/results/raw/g04_turn_paradox_5b/fold_2026_09_24.json,10839341492,1605,True,6.225,6.8,7.0,7.2,6.5,medium,medium
g05_callback_tension_4b,fold_2026_08_31,2026-08-31,experiments/editorial_grid_search/results/scripts/g05_callback_tension_4b/fold_2026_08_31.txt,experiments/editorial_grid_search/results/raw/g05_callback_tension_4b/fold_2026_08_31.json,10839591045,1952,False,5.93,6.6,6.0,7.1,6.8,medium,medium
g05_callback_tension_4b,fold_2026_09_04,2026-09-04,experiments/editorial_grid_search/results/scripts/g05_callback_tension_4b/fold_2026_09_04.txt,experiments/editorial_grid_search/results/raw/g05_callback_tension_4b/fold_2026_09_04.json,10839591045,1570,True,6.54,7.2,6.8,6.6,7.0,medium,low
g05_callback_tension_4b,fold_2026_09_24,2026-09-24,experiments/editorial_grid_search/results/scripts/g05_callback_tension_4b/fold_2026_09_24.txt,experiments/editorial_grid_search/results/raw/g05_callback_tension_4b/fold_2026_09_24.json,10839591045,1576,True,6.425,6.3,6.7,7.2,7.0,medium,low
g06_forced_short_4b,fold_2026_08_31,2026-08-31,experiments/editorial_grid_search/results/scripts/g06_forced_short_4b/fold_2026_08_31.txt,experiments/editorial_grid_search/results/raw/g06_forced_short_4b/fold_2026_08_31.json,10838954271,1337,True,7.385,8.1,7.6,7.8,7.1,medium,low
g06_forced_short_4b,fold_2026_09_04,2026-09-04,experiments/editorial_grid_search/results/scripts/g06_forced_short_4b/fold_2026_09_04.txt,experiments/editorial_grid_search/results/raw/g06_forced_short_4b/fold_2026_09_04.json,10838954271,1567,True,5.86,7.1,5.9,6.6,6.5,medium,medium
g06_forced_short_4b,fold_2026_09_24,2026-09-24,experiments/editorial_grid_search/results/scripts/g06_forced_short_4b/fold_2026_09_24.txt,experiments/editorial_grid_search/results/raw/g06_forced_short_4b/fold_2026_09_24.json,10838954271,1522,True,7.505,7.6,8.2,8.4,6.7,medium,low
g07_forced_scene_fast,fold_2026_08_31,2026-08-31,experiments/editorial_grid_search/results/scripts/g07_forced_scene_fast/fold_2026_08_31.txt,experiments/editorial_grid_search/results/raw/g07_forced_scene_fast/fold_2026_08_31.json,10839601082,1362,True,6.08,6.3,6.6,7.6,6.4,medium,medium
g07_forced_scene_fast,fold_2026_09_04,2026-09-04,experiments/editorial_grid_search/results/scripts/g07_forced_scene_fast/fold_2026_09_04.txt,experiments/editorial_grid_search/results/raw/g07_forced_scene_fast/fold_2026_09_04.json,10839601082,1488,True,6.44,7.3,6.6,7.6,6.8,medium,medium
g07_forced_scene_fast,fold_2026_09_24,2026-09-24,experiments/editorial_grid_search/results/scripts/g07_forced_scene_fast/fold_2026_09_24.txt,experiments/editorial_grid_search/results/raw/g07_forced_scene_fast/fold_2026_09_24.json,10839601082,1448,True,7.34,7.6,7.9,8.2,6.5,medium,low
g08_fit_dense_6b,fold_2026_08_31,2026-08-31,experiments/editorial_grid_search/results/scripts/g08_fit_dense_6b/fold_2026_08_31.txt,experiments/editorial_grid_search/results/raw/g08_fit_dense_6b/fold_2026_08_31.json,10839795534,1832,False,6.505,7.3,6.8,7.6,6.9,medium,medium
g08_fit_dense_6b,fold_2026_09_04,2026-09-04,experiments/editorial_grid_search/results/scripts/g08_fit_dense_6b/fold_2026_09_04.txt,experiments/editorial_grid_search/results/raw/g08_fit_dense_6b/fold_2026_09_04.json,10839795534,1905,False,6.225,7.2,6.7,6.9,6.8,medium,medium
